2022-03-02 19:13:59   54,2g  46   0k  0  0 541 1647 23  0 68 12 14  0  0  0 6,3g  993m  965m  28m  0k   0k 96k 71 12 22 134k <1k  65 256m 102m  14m  13m  2m  2m  23m  10m 321m  39 26  29 64m  57   52 2884    0   0 
2022-03-02 19:14:00   54,2g  46   0k  0  0 541 1647 22  0 71 13 11  0  0  0 6,3g  995m  967m  28m  0k   0k 96k 73 13 22 133k  0k  65 256m 120m  14m  13m  2m  2m  23m  10m 376m  39 26   0 64m  57   52 2884    0   0 
2022-03-02 19:14:01   54,2g  46   0k  0  0 541 1645 23  0 71 12 10  0  0  0 6,3g  995m  967m  28m  0k   0k 96k 74 13 22 133k  0k  65 256m  76m  14m  13m  2m  2m  23m  10m 243m  39 26   0 64m  57   52 2884    0   0 
2022-03-02 19:14:02   54,2g  46   0k  0  0 541 1621  3  0 55  8 34  0  0  0 6,3g  996m  968m  28m  0k   0k 96k 55  8 22 133k  0k  43 256m 146m  14m  13m  2m  2m  23m  10m 174m  17  4   0 42m  57   52 2884    0   0 
2022-03-02 19:14:04   54,2g  46   0k  0  0 541 1636 23  0 34  6  8  0  0  0 6,3g  996m  968m  28m  0k   0k 96k 34  6 22 133k <1k  64 256m 148m  14m  13m  2m  2m  23m  10m 348m  38 26  26 63m  57   52 2884    0   0 
2022-03-02 19:14:05   54,2g  45   0k  0  0 541 1625 24  0 69 13 12  0  0  0 6,3g  997m  969m  28m  0k   0k 96k 70 13 22 133k  0k  64 256m  96m  14m  13m  2m  2m  23m  10m 302m  38 26   0 63m  57   52 2884    0   0 
2022-03-02 19:14:06   54,2g  45   0k  0  0 541 1624 21  0 71 12 10  0  0  0 6,3g  998m  970m  28m  0k   0k 96k 74 12 22 134k  0k  63 256m 140m  14m  13m  2m  2m  23m  10m 271m  37 26   0 62m  57   52 2884    0   0 
2022-03-02 19:14:07   54,2g  45   0k  0  0 541 1606  6  0 60  9 26  0  0  0 6,3g  998m  970m  28m  0k   0k 96k 61  9 22 133k  0k  45 256m  56m  14m  13m  2m  2m  23m  10m 200m  19  8   0 44m  57   52 2884    0   0 
2022-03-02 19:14:08   54,2g  45   0k  0  0 541 1624 21  0 63 11 19  0  0  0 6,3g  998m  970m  28m  0k   0k 96k 67 11 22 133k <1k  63 256m 156m  14m  13m  2m  2m  23m  10m 214m  37 26  26 62m  57   52 2884    0   0 
2022-03-02 19:14:09   54,2g  45   0k  0  0 541 1623 24  0 73 12 10  0  0  0 6,3g  998m  970m  28m  0k   0k 96k 75 12 22 133k  0k  63 256m  47m  14m  13m  2m  2m  23m  10m 331m  37 26   0 62m  57   52 2884    0   0 
2022-03-02 19:14:10   54,2g  45   0k  0  0 541 1623 23  0 70 13 12  0  0  0 6,3g  998m  970m  28m  0k   0k 96k 72 13 22 133k  0k  63 256m  13m  14m  13m  2m  2m  23m  10m 287m  37 26   0 62m  57   52 2884    0   0 
2022-03-02 19:14:11   54,2g  45   0k  0  0 541 1606  9  0 64 11 19  0  0  0 6,3g  999m  971m  28m  0k   0k 96k 66 11 22 133k  0k  46 256m 157m  14m  13m  2m  2m  23m  10m 238m  20 10   0 45m  57   52 2884    0   0 
2022-03-02 19:14:12   54,2g  45   0k  0  0 541 1622 17  0 63 10 21  0  0  0 6,3g 1008m  979m  28m  0k   0k 96k 65 11 22 133k <1k  62 256m 134m  14m  13m  2m  2m  23m  10m 404m  36 26  26 61m  57   52 2884    0   0 
2022-03-02 19:14:13   54,2g  45   0k  0  0 541 1622 23  0 69 12 11  0  0  0 6,3g 1012m  984m  28m  0k   0k 96k 73 13 22 133k  0k  62 256m  20m  14m  13m  2m  2m  23m  10m 196m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:14:14   54,1g  45   0k  0  0 541 1626 25  0 74 12  9  0  0  0 6,3g 1017m  989m  28m  0k   0k 96k 73 12 22 133k  0k  62 256m  85m  14m  13m  2m  2m  23m  10m 323m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:14:15   54,2g  45   0k  0  0 541 1604  3  0 63 10 23  0  0  0 6,3g 1019m  991m  28m  0k   0k 96k 61  9 22 133k  0k  41 256m   7m  14m  13m  2m  2m  23m  10m 265m  15  5   0 40m  57   52 2884    0   0 
2022-03-02 19:14:16   54,2g  45   0k  0  0 541 1626 24  0 68 11 15  0  0  0 6,3g 1019m  991m  28m  0k   0k 96k 71 11 22 134k <1k  62 256m  66m  14m  13m  2m  2m  23m  10m 287m  36 26  26 61m  57   52 2884    0   0 
2022-03-02 19:14:17   54,2g  45   0k  0  0 542 1633 21  0 72 12 10  0  0  0 6,3g 1021m  993m  28m  0k   0k 96k 72 12 22 133k  0k  62 256m 120m  14m  13m  2m  2m  23m  10m 402m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:14:18   54,1g  46   0k  0  0 545 1667 21  0 68 11 13  0  0  0 6,3g 1022m  994m  28m  0k   0k 96k 71 12 22 134k  0k  62 256m 149m  14m  13m  2m  2m  23m  10m 239m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:14:19   54,1g  46   0k  0  0 545 1647  5  0 54  8 32  0  0  0 6,3g 1022m  994m  28m  0k   0k 96k 56  8 22 134k  0k  42 256m  55m  14m  13m  2m  2m  23m  10m 277m  16  6   0 41m  57   52 2884    0   0 
2022-03-02 19:14:20   54,1g  46   0k  0  0 545 1671 17  0 66 12 16  0  0  0 6,3g 1023m  995m  28m  0k   0k 96k 70 12 22 136k <1k  65 256m 117m  14m  13m  2m  2m  23m  10m 225m  39 26  29 64m  57   52 2884    0   0 
2022-03-02 19:14:21   54,1g  46   0k  0  0 545 1670 23  0 70 13 10  0  0  0 6,3g 1023m  995m  28m  0k   0k 96k 73 13 22 135k  0k  64 256m  31m  14m  13m  2m  2m  23m  10m 347m  38 26   0 63m  57   52 2884    0   0 
2022-03-02 19:14:22   54,1g  46   0k  0  0 545 1673 22  0 71 11 11  0  0  0 6,3g 1023m  995m  28m  0k   0k 96k 74 12 22 134k  0k  64 256m 119m  14m  13m  2m  2m  23m  10m 384m  38 26   0 63m  57   52 2884    0   0 
2022-03-02 19:14:23   54,1g  46   0k  0  0 545 1656  8  0 55  9 31  0  0  0 6,3g  1,0g  997m  28m  0k   0k 96k 57  9 22 134k  0k  46 256m  68m  14m  13m  2m  2m  23m  10m 158m  20  8   0 45m  57   52 2884    0   0 
2022-03-02 19:14:24   54,1g  46   0k  0  0 545 1674 22  0 63 10 21  0  0  0 6,3g  1,0g  997m  28m  0k   0k 96k 66 11 22 137k <1k  64 256m  18m  14m  13m  2m  2m  23m  10m 256m  38 26  26 63m  57   52 2884    0   0 
2022-03-02 19:14:25   54,1g  46   0k  0  0 545 1674 23  0 73 12 10  0  0  0 6,3g  1,0g 1006m  28m  0k   0k 96k 74 12 22 134k  0k  64 256m  12m  14m  13m  2m  2m  23m  10m 449m  38 26   0 63m  57   52 2884    0   0 
2022-03-02 19:14:26   54,1g  46   0k  0  0 545 1679 25  0 71 12 12  0  0  0 6,3g  1,0g 1010m  28m  0k   0k 96k 73 12 22 135k  0k  62 256m  77m  14m  13m  2m  2m  23m  10m 207m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:14:27   54,1g  46   0k  0  0 545 1657  5  0 61 10 25  0  0  0 6,3g  1,0g 1011m  28m  0k   0k 96k 61 10 22 135k  0k  42 256m  72m  14m  13m  2m  2m  23m  10m 340m  16  6   0 41m  57   52 2884    0   0 
2022-03-02 19:14:28   54,1g  46   0k  0  0 545 1677 25  0 67 11 17  0  0  0 6,3g  1,0g 1011m  28m  0k   0k 96k 69 11 22 134k <1k  62 256m 101m  14m  13m  2m  2m  23m  10m 284m  36 26  26 61m  57   52 2884    0   0 
2022-03-02 19:14:29   54,1g  46   0k  0  0 545 1677 24  0 70 12 12  0  0  0 6,3g  1,0g 1011m  28m  0k   0k 96k 73 12 22 134k  0k  62 256m 143m  14m  13m  2m  2m  23m  10m 247m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:14:30   54,1g  46   0k  0  0 545 1677 25  0 72 13 10  0  0  0 6,3g  1,0g 1011m  28m  0k   0k 96k 74 13 22 134k  0k  62 256m 114m  14m  13m  2m  2m  23m  10m 435m  36 26   0 61m  57   52 2884    0   0 
2022-03-02 19:14:31   54,1g  46   0k  0  0 545 1652  1  0 60  8 28  0  0  0 6,3g  1,0g 1012m  28m  0k   0k 96k 60  8 22 134k <1k  38 256m  77m  14m  13m  2m  2m  23m  10m 136m  12  2   0 37m  57   52 2884    0   0 
2022-03-02 19:14:32   54,1g  46   0k  0  0 544 1676 23  0 71 12 10  0  0  0 6,3g  1,0g 1012m  28m  0k   0k 96k 73 12 22 134k <1k  62 256m 150m  14m  13m  2m  2m  23m  10m 336m  36 26  26 61m  57   52 2884    0   0 
