Vitals:
Now:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

                Now,"61900880","25","0","","","526","1132","1","0","","","","","","","6605712","848924","820372","28552","0","0","96","","","23","","","32","","","14400","13927","2048","1870","23808","10304","","10","1","","","","","2903","","",

Last 6 minutes:
,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-hp,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

2022-03-04 13:45:19,"61931620","25","0","0","0","526","1166","24","0","46","3","49","0","0","0","6606740","818988","790432","28556","0","0","96","47","3","22","128","0","62","262144","28981","14400","13845","2048","1856","23808","10240","71067","36","26","26","62608","49","44","2875","0","0",
2022-03-04 13:45:20,"61931632","25","0","0","0","526","1166","24","0","85","6","5","0","0","0","6606740","818988","790432","28556","0","0","96","87","6","22","128","0","62","262144","107786","14400","13845","2048","1856","23808","10240","192110","36","26","0","62608","49","44","2875","0","0",
2022-03-04 13:45:21,"61931128","25","0","0","0","526","1166","22","0","89","5","4","0","0","0","6606740","819248","790692","28556","0","0","96","89","5","22","128","0","62","262144","89605","14400","13845","2048","1856","23808","10240","102138","36","26","0","62608","49","44","2875","0","0",
2022-03-04 13:45:22,"61931128","25","0","0","0","526","1166","26","0","90","4","4","0","0","0","6606740","819512","790956","28556","0","0","96","91","4","22","128","0","62","262144","25514","14400","13845","2048","1856","23808","10240","220646","36","26","0","62608","49","44","2875","0","0",
2022-03-04 13:45:23,"61931128","25","0","0","0","526","1158","19","0","84","5","10","0","0","0","6606740","819512","790956","28556","0","0","96","84","5","22","128","0","56","262144","87898","14400","13845","2048","1856","23808","10240","165808","30","20","0","56440","49","44","2875","0","0",
2022-03-04 13:45:24,"61930880","25","0","0","0","526","1165","23","0","65","4","28","0","0","0","6606740","819764","791208","28556","0","0","96","67","4","22","128","0","62","262144","69070","14400","13845","2048","1856","23808","10240","257621","36","26","26","62608","49","44","2875","0","0",
2022-03-04 13:45:25,"61930880","25","0","0","0","526","1165","24","0","85","6","6","0","0","0","6606740","819764","791208","28556","0","0","96","86","6","22","128","0","62","262144","41845","14400","13845","2048","1856","23808","10240","150766","36","26","0","62608","49","44","2875","0","0",
2022-03-04 13:45:26,"61930880","25","0","0","0","526","1165","24","0","86","5","6","0","0","0","6606740","819764","791208","28556","0","0","96","87","5","22","128","0","62","262144","18540","14400","13845","2048","1856","23808","10240","97718","36","26","0","62608","49","44","2875","0","0",
2022-03-04 13:45:27,"61930884","25","0","0","0","526","1165","3","0","86","6","5","0","0","0","6606740","819764","791208","28556","0","0","96","87","6","22","128","0","62","262144","161170","14400","13845","2048","1856","23808","10240","235246","36","26","0","62608","49","44","2875","0","0",
2022-03-04 13:45:28,"61930892","25","0","0","0","526","1148","7","0","67","5","25","0","0","0","6606740","819764","791208","28556","0","0","96","69","5","22","128","0","45","262144","19551","14400","13845","2048","1856","23808","10240","161463","19","9","0","45132","49","44","2875","0","0",
